sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
1658,Nikola Jokić,5352,Nikola Jokic,3112335,Nikola Jokic,2135542,Nikola Jokic,9196,Nikola Jokic,'03e75,Nikola Jokic,203999
1970,Luka Dončić,6014,Luka Doncic,3945274,Luka Doncic,2900426,Luka Doncic,15200,Luka Doncic,'04kj6,Luka Doncic,1629029
1380,Giannis Antetokounmpo,5185,Giannis Antetokounmpo,3032977,Giannis Antetokounmpo,2067655,Giannis Antetokounmpo,9325,Giannis Antetokounmpo,'031m2,Giannis Antetokounmpo,203507
1511,Joel Embiid,5294,Joel Embiid,3059318,Joel Embiid,2135528,Joel Embiid,9418,Joel Embiid,'03al2,Joel Embiid,203954
1822,Jayson Tatum,5765,Jayson Tatum,4065648,Jayson Tatum,2268018,Jayson Tatum,13730,Jayson Tatum,'03xmv,Jayson Tatum,1628369
1957,Shai Gilgeous-Alexander,6022,Shai Gilgeous-Alexander,4278073,Shai Gilgeous-Alexander,2938033,Shai Gilgeous-Alexander,15208,Shai Gilgeous-Alexander,'04qro,Shai Gilgeous-Alexander,1628983
2161,Tyrese Haliburton,6404,Tyrese Haliburton,4396993,Tyrese Haliburton,3041074,Tyrese Haliburton,27619,Tyrese Haliburton,'05qtv,Tyrese Haliburton,1630169
1085,Stephen Curry,4612,Stephen Curry,3975,Stephen Curry,1685204,Stephen Curry,9218,Stephen Curry,'01enh,Stephen Curry,201939
1444,Damian Lillard,5012,Damian Lillard,6606,Damian Lillard,1992810,Damian Lillard,9445,Damian Lillard,'02nf6,Damian Lillard,203081
1648,Devin Booker,5473,Devin Booker,3136193,Devin Booker,2152529,Devin Booker,9434,Devin Booker,'03nwm,Devin Booker,1626164
2133,Anthony Edwards,6355,Anthony Edwards,4594268,Anthony Edwards,3141406,Anthony Edwards,27638,Anthony Edwards,'05qug,Anthony Edwards,1630162
1433,Kevin Durant,4244,Kevin Durant,3202,Kevin Durant,1231866,Kevin Durant,9386,Kevin Durant,'001aw,Kevin Durant,201142
1613,Karl-Anthony Towns,5432,Karl-Anthony Towns,3136195,Karl-Anthony Towns,2152531,Karl-Anthony Towns,9346,Karl-Anthony Towns,'03ad3,Karl-Anthony Towns,1626157
1739,Domantas Sabonis,5642,Domantas Sabonis,3155942,Domantas Sabonis,2152455,Domantas Sabonis,10113,Domantas Sabonis,'042n7,Domantas Sabonis,1627734
1240,James Harden,4563,James Harden,3992,James Harden,1685255,James Harden,9232,James Harden,'01eo6,James Harden,201935
2179,LaMelo Ball,6395,LaMelo Ball,4432816,LaMelo Ball,3149252,LaMelo Ball,27469,LaMelo Ball,'05qto,LaMelo Ball,1630163
1272,Anthony Davis,5007,Anthony Davis,6583,Anthony Davis,1992786,Anthony Davis,9354,Anthony Davis,'02nf1,Anthony Davis,203076
1845,Donovan Mitchell,5826,Donovan Mitchell,3908809,Donovan Mitchell,2842760,Donovan Mitchell,13741,Donovan Mitchell,'04ewe,Donovan Mitchell,1628378
1362,LeBron James,3704,LeBron James,1966,LeBron James,400553,LeBron James,9158,LeBron James,'0011e,LeBron James,2544
1945,Trae Young,6016,Trae Young,4277905,Trae Young,2938032,Trae Young,15202,Trae Young,'04qrk,Trae Young,1629027
2577,Victor Wembanyama,10094,Victor Wembanyama,5104157,Victor Wembanyama,29005036,Victor Wembanyama,110399,Victor Wembanyama,'06cch,Victor Wembanyama,1641705
2040,Ja Morant,6164,Ja Morant,4279888,Ja Morant,2892772,Ja Morant,17189,Ja Morant,'051oi,Ja Morant,1629630
1711,Jaylen Brown,5602,Jaylen Brown,3917376,Jaylen Brown,2202365,Jaylen Brown,10090,Jaylen Brown,'03lls,Jaylen Brown,1627759
1054,Kyrie Irving,4840,Kyrie Irving,6442,Kyrie Irving,1779901,Kyrie Irving,9157,Kyrie Irving,'027oj,Kyrie Irving,202681
1872,De'Aaron Fox,5767,De'Aaron Fox,4066259,De'Aaron Fox,2355019,De'Aaron Fox,13732,De'Aaron Fox,'049kb,DeAaron Fox,1628368
1000,Jimmy Butler III,4912,Jimmy Butler III,6430,Jimmy Butler III,1646703,Jimmy Butler,9152,Jimmy Butler,'027pe,Jimmy Butler,202710
1846,Bam Adebayo,5827,Bam Adebayo,4066261,Bam Adebayo,2844706,Bam Adebayo,13742,Bam Adebayo,'04ewf,Bam Adebayo,1628389
2458,Paolo Banchero,6691,Paolo Banchero,4432573,Paolo Banchero,26775953,Paolo Banchero,38840,Paolo Banchero,'06210,Paolo Banchero,1631094
2054,Zion Williamson,6163,Zion Williamson,4395628,Zion Williamson,3042398,Zion Williamson,16958,Zion Williamson,'051oh,Zion Williamson,1629627
1716,Pascal Siakam,5658,Pascal Siakam,3149673,Pascal Siakam,2157611,Pascal Siakam,10123,Pascal Siakam,'042nm,Pascal Siakam,1627783
1698,Brandon Ingram,5601,Brandon Ingram,3913176,Brandon Ingram,2202503,Brandon Ingram,10149,Brandon Ingram,'042n1,Brandon Ingram,1627742
1924,Jaren Jackson Jr.,6015,Jaren Jackson Jr.,4277961,Jaren Jackson Jr.,2892693,Jaren Jackson Jr.,15201,Jaren Jackson Jr.,'04qrj,Jaren Jackson,1628991
1967,Jalen Brunson,6044,Jalen Brunson,3934672,Jalen Brunson,2203517,Jalen Brunson,15280,Jalen Brunson,'04qsa,Jalen Brunson,1628973
1975,Mikal Bridges,6021,Mikal Bridges,3147657,Mikal Bridges,2153056,Mikal Bridges,15207,Mikal Bridges,'04qrn,Mikal Bridges,1628969
1752,Lauri Markkanen,5769,Lauri Markkanen,4066336,Lauri Markkanen,2844693,Lauri Markkanen,13734,Lauri Markkanen,'04azw,Lauri Markkanen,1628374
2267,Cade Cunningham,6512,Cade Cunningham,4432166,Cade Cunningham,3177949,Cade Cunningham,31030,Cade Cunningham,'05uib,Cade Cunningham,1630595
1308,Kawhi Leonard,4896,Kawhi Leonard,6450,Kawhi Leonard,1715792,Kawhi Leonard,9476,Kawhi Leonard,'027oz,Kawhi Leonard,202695
2007,Darius Garland,6167,Darius Garland,4396907,Darius Garland,3042335,Darius Garland,17191,Darius Garland,'051ol,Darius Garland,1629636
1713,Dejounte Murray,5660,Dejounte Murray,3907497,Dejounte Murray,2203544,Dejounte Murray,10165,Dejounte Murray,'042nq,Dejounte Murray,1627749
